filename,notes,authors,licenses,urls
body/bodies/male/olive.png,"see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16,JaidynReiman,Benjamin K. Smith (BenCreating),Evert,Eliza Wyatt (ElizaWy),TheraHedwig,MuffinElZangano,Durrani,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-character-bases"
head/heads/human/male/olive.png,"original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16,Benjamin K. Smith (BenCreating),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-character-bases"
head/faces/male/anger/olive.png,"Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman,ElizaWy,Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head,https://opengameart.org/content/ulpc-expanded-expressions"
eyes/human/adult/anger/brown.png,"original by Redshrike, mapped to all frames by Matthew Krohn & JaidynReiman","JaidynReiman,Matthew Krohn (makrohn),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles"
head/wrinkles/olive.png,"","bluecarrot16","CC0",""
facial/glasses/secretary/adult/black.png,"Original by Pennomi, repositioning and recolors by JaidynReiman.","JaidynReiman,Thane Brimhall (pennomi),laetissima","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-base-character-expressions"
torso/clothes/shortsleeve/tshirt/male/white.png,"original by ElizaWy; spellcast/thrust/shoot/hurt/male adapted from original by JaidynReiman","ElizaWy,JaidynReiman,Stephen Challener (Redshrike),Johannes Sjölund (wulax)","OGA-BY 3.0","https://opengameart.org/content/lpc-revised-character-basics,https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing,https://opengameart.org/content/lpc-expanded-sit-run-jump-more,https://opengameart.org/content/lpc-expanded-simple-shirts"
torso/jacket/collared/male/brown_striped.png,"","bluecarrot16","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-gentleman,https://opengameart.org/content/lpc-pirates"
legs/pants/male/black.png,"original male pants by wulax, recolors and edits to v3 base by bluecarrot16, climb/jump/run/sit/emotes/revised combat by JaidynReiman based on ElizaWy's LPC Revised","bluecarrot16,JaidynReiman,ElizaWy,Matthew Krohn (makrohn),Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,GPL 3.0,CC-BY-SA 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-expanded-pants"
feet/shoes/basic/male/brown.png,"original by wulax, edited for v3 base by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman","JaidynReiman,bluecarrot16,Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates,https://opengameart.org/content/lpc-expanded-socks-shoes"
weapon/sword/longsword/longsword.png,"","Johannes Sjölund (wulax),bluecarrot16","OGA-BY 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations"
weapon/sword/longsword/universal_behind/longsword.png,"","Johannes Sjölund (wulax),bluecarrot16","OGA-BY 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations"
weapon/sword/longsword/attack_slash/behind/longsword.png,"","Johannes Sjölund (wulax),bluecarrot16","OGA-BY 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations"
weapon/sword/longsword/attack_slash/longsword.png,"","Johannes Sjölund (wulax),bluecarrot16","OGA-BY 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations"
weapon/sword/longsword/attack_slash_reverse/behind/longsword.png,"","Johannes Sjölund (wulax),bluecarrot16","OGA-BY 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations"
weapon/sword/longsword/attack_slash_reverse/longsword.png,"","Johannes Sjölund (wulax),bluecarrot16","OGA-BY 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations"
weapon/sword/longsword/attack_thrust/behind/longsword.png,"","Johannes Sjölund (wulax),bluecarrot16","OGA-BY 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations"
weapon/sword/longsword/attack_thrust/longsword.png,"","Johannes Sjölund (wulax),bluecarrot16","OGA-BY 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations"
